qid,type,label,object_description,form_description,design_description,includes
Q102972134,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of flowers with circular abstract designs,Soba-choko (noodle sauce cup),,in blue underglaze of flowers with circular abstract designs,
Q102972142,ceramics,"Soba-choko (noodle sauce cup) with a design in blue underglaze of flying cranes, abstract patterns with foliate rim",Soba-choko (noodle sauce cup),,"in blue underglaze of flying cranes, abstract patterns with foliate rim",
Q102972148,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of galloping horse and willow tree,Soba-choko (noodle sauce cup),,in blue underglaze of galloping horse and willow tree,
Q102972155,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of grapevines and tendrils,Soba-choko (noodle sauce cup),,in blue underglaze of grapevines and tendrils,
Q102972161,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of landscape with a building on outside,Soba-choko (noodle sauce cup),,in blue underglaze of landscape with a building on outside,
Q102972169,ceramics,"Soba-choko (noodle sauce cup) with a design in blue underglaze of landscape with building, birds, and sails",Soba-choko (noodle sauce cup),,"in blue underglaze of landscape with building, birds, and sails",
Q102972177,ceramics,"Soba-choko (noodle sauce cup) with a design in blue underglaze of landscape with building, mountains and birds",Soba-choko (noodle sauce cup),,"in blue underglaze of landscape with building, mountains and birds",
Q102972185,ceramics,"Soba-choko (noodle sauce cup) with a design in blue underglaze of landscape with pine tree, bamboo, and birds",Soba-choko (noodle sauce cup),,"in blue underglaze of landscape with pine tree, bamboo, and birds",
Q102972191,ceramics,"Soba-choko (noodle sauce cup) with a design in blue underglaze of landscape with rocks, trees, and birds",Soba-choko (noodle sauce cup),,"in blue underglaze of landscape with rocks, trees, and birds",
Q102972198,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of landscape with sailboats,Soba-choko (noodle sauce cup),,in blue underglaze of landscape with sailboats,
Q102972205,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of landscape with sailboats and a star constellation,Soba-choko (noodle sauce cup),,in blue underglaze of landscape with sailboats and a star constellation,
Q102972214,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of landscape with sailboats and buildings,Soba-choko (noodle sauce cup),,in blue underglaze of landscape with sailboats and buildings,
Q102972225,ceramics,"Soba-choko (noodle sauce cup) with a design in blue underglaze of landscape with two houses, birds, and fish nets",Soba-choko (noodle sauce cup),,"in blue underglaze of landscape with two houses, birds, and fish nets",
Q102972234,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of low-lying mountain with stylized plant forms,Soba-choko (noodle sauce cup),,in blue underglaze of low-lying mountain with stylized plant forms,
Q102972243,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of lozenge shapes in a cross hatched pattern,Soba-choko (noodle sauce cup),,in blue underglaze of lozenge shapes in a cross hatched pattern,
Q102972256,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of morning glories on a trellis and two butterflies,Soba-choko (noodle sauce cup),,in blue underglaze of morning glories on a trellis and two butterflies,
Q102972272,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of ovals set in rectangles,Soba-choko (noodle sauce cup),,in blue underglaze of ovals set in rectangles,
Q102972289,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of pine boughs,Soba-choko (noodle sauce cup),,in blue underglaze of pine boughs,
Q102972307,ceramics,"Soba-choko (noodle sauce cup) with a design in blue underglaze of pine, plum and bamboo",Soba-choko (noodle sauce cup),,"in blue underglaze of pine, plum and bamboo",
Q102972320,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of plaid pattern,Soba-choko (noodle sauce cup),,in blue underglaze of plaid pattern,
Q102972334,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of plant forms,Soba-choko (noodle sauce cup),,in blue underglaze of plant forms,
Q102972348,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of plant forms set in squares,Soba-choko (noodle sauce cup),,in blue underglaze of plant forms set in squares,
Q102972367,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of plant still life,Soba-choko (noodle sauce cup),,in blue underglaze of plant still life,
Q102972384,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of plants and a butterfly,Soba-choko (noodle sauce cup),,in blue underglaze of plants and a butterfly,
Q102972402,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of plants and rocks,Soba-choko (noodle sauce cup),,in blue underglaze of plants and rocks,
Q102972417,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of plants and vegetation,Soba-choko (noodle sauce cup),,in blue underglaze of plants and vegetation,
Q102972436,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of plants and vegetation in a grid pattern,Soba-choko (noodle sauce cup),,in blue underglaze of plants and vegetation in a grid pattern,
Q102972454,ceramics,"Soba-choko (noodle sauce cup) with a design in blue underglaze of plants, pine saplings with an inscription on the bottom",Soba-choko (noodle sauce cup),,"in blue underglaze of plants, pine saplings with an inscription on the bottom",
Q102972471,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of radishes,Soba-choko (noodle sauce cup),,in blue underglaze of radishes,
Q102972489,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of sacred fungus and tendrils,Soba-choko (noodle sauce cup),,in blue underglaze of sacred fungus and tendrils,
Q102972503,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of seascape islands and sailboats,Soba-choko (noodle sauce cup),,in blue underglaze of seascape islands and sailboats,
Q102972520,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of spiral motif,Soba-choko (noodle sauce cup),,in blue underglaze of spiral motif,
Q102972532,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of squares filled with plum and bamboo,Soba-choko (noodle sauce cup),,in blue underglaze of squares filled with plum and bamboo,
Q102972547,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of stylized bamboo,Soba-choko (noodle sauce cup),,in blue underglaze of stylized bamboo,
Q102972562,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of stylized flowers or plants,Soba-choko (noodle sauce cup),,in blue underglaze of stylized flowers or plants,
Q102972577,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of stylized pine and bamboo,Soba-choko (noodle sauce cup),,in blue underglaze of stylized pine and bamboo,
Q102972589,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of stylized pine branches,Soba-choko (noodle sauce cup),,in blue underglaze of stylized pine branches,
Q102972606,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of stylized plant forms,Soba-choko (noodle sauce cup),,in blue underglaze of stylized plant forms,
Q102972625,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of thick and thin vertical stripes,Soba-choko (noodle sauce cup),,in blue underglaze of thick and thin vertical stripes,
Q102972641,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of thistles,Soba-choko (noodle sauce cup),,in blue underglaze of thistles,
Q102972657,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of three abstract flowers and vertical stripes,Soba-choko (noodle sauce cup),,in blue underglaze of three abstract flowers and vertical stripes,
Q102972674,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of three floral motifs contained in three cartouches separated by an abstract design,Soba-choko (noodle sauce cup),,in blue underglaze of three floral motifs contained in three cartouches separated by an abstract design,
Q102972689,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of three flowering plants set in three panels,Soba-choko (noodle sauce cup),,in blue underglaze of three flowering plants set in three panels,
Q102972706,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of three plants,Soba-choko (noodle sauce cup),,in blue underglaze of three plants,
Q102972723,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of three sets of plants,Soba-choko (noodle sauce cup),,in blue underglaze of three sets of plants,
Q102972741,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of three young pine trees and mountain,Soba-choko (noodle sauce cup),,in blue underglaze of three young pine trees and mountain,
Q102972758,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of trees and plant forms with a foliate ring,Soba-choko (noodle sauce cup),,in blue underglaze of trees and plant forms with a foliate ring,
Q102972775,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of triangle-shapes,Soba-choko (noodle sauce cup),,in blue underglaze of triangle-shapes,
Q102972787,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of two bamboo stalks,Soba-choko (noodle sauce cup),,in blue underglaze of two bamboo stalks,
Q102972801,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of two bundles of grain,Soba-choko (noodle sauce cup),,in blue underglaze of two bundles of grain,
Q102972814,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of two butterflies and plant forms,Soba-choko (noodle sauce cup),,in blue underglaze of two butterflies and plant forms,
Q102972824,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of two Chinese men and bamboo,Soba-choko (noodle sauce cup),,in blue underglaze of two Chinese men and bamboo,
Q102972834,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of two flowering plants and two abstract design panels,Soba-choko (noodle sauce cup),,in blue underglaze of two flowering plants and two abstract design panels,
Q102972840,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of vertical brush pattern,Soba-choko (noodle sauce cup),,in blue underglaze of vertical brush pattern,
Q102972848,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of vertical lines,Soba-choko (noodle sauce cup),,in blue underglaze of vertical lines,
Q102972853,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of vertical stripes with three stylized butterflies,Soba-choko (noodle sauce cup),,in blue underglaze of vertical stripes with three stylized butterflies,
Q102972858,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of vines and tendrils,Soba-choko (noodle sauce cup),,in blue underglaze of vines and tendrils,
Q102972866,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of waves and flying sea plover (chidori),Soba-choko (noodle sauce cup),,in blue underglaze of waves and flying sea plover (chidori),
Q102972871,ceramics,"Soba-choko (noodle sauce cup) with a design in blue underglaze of willow tree, rocks and two butterflies",Soba-choko (noodle sauce cup),,"in blue underglaze of willow tree, rocks and two butterflies",
Q102972880,ceramics,"Soba-choko (noodle sauce cup) with a design in blue underglaze of wine jar and chrysanthemums, ladle and flying bird",Soba-choko (noodle sauce cup),,"in blue underglaze of wine jar and chrysanthemums, ladle and flying bird",
Q102972889,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of wisteria flowers,Soba-choko (noodle sauce cup),,in blue underglaze of wisteria flowers,
Q102972896,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of wisteria flowers and four circles,Soba-choko (noodle sauce cup),,in blue underglaze of wisteria flowers and four circles,
Q102972903,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze oftwo floral motifs,Soba-choko (noodle sauce cup),,in blue underglaze oftwo floral motifs,
Q102972909,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze two Chinese men and bamboo,Soba-choko (noodle sauce cup),,in blue underglaze two Chinese men and bamboo,
Q102972916,ceramics,Soba-choko (noodle sauce cup) with a design in brown glaze of reeds with orange and and white glaze,Soba-choko (noodle sauce cup),,in brown glaze of reeds with orange and and white glaze,
Q102972923,ceramics,Soba-choko (Noodle sauce cup) with a design in green and brown underglaze of plaid checkerboard pattern,Soba-choko (Noodle sauce cup),,in green and brown underglaze of plaid checkerboard pattern,
Q102972929,ceramics,"Soba-choko (noodle sauce cup) with a design of Chinese men, floral motifs in  blue underglaze and green, gold and taupe enamels",Soba-choko (noodle sauce cup),,"of Chinese men, floral motifs in  blue underglaze and green, gold and taupe enamels",
Q102972938,ceramics,Soba-choko (Noodle Sauce Cup) with a Design of Flowers and Bamboo,Soba-choko (Noodle Sauce Cup),,of Flowers and Bamboo,
Q102972950,ceramics,"Soba-choko (Noodle Sauce Cup) with a Design of Trees, Plants, Grasses, and an Inside Border of Lozenges",Soba-choko (Noodle Sauce Cup),,"of Trees, Plants, Grasses, and an Inside Border of Lozenges",
Q102972955,ceramics,Soba-choko (noodle sauce cup) with a palmette design,Soba-choko (noodle sauce cup),,,a palmette design
Q102972962,ceramics,Soba-choko (noodle sauce cup) with brown glaze,Soba-choko (noodle sauce cup),,,brown glaze
Q102972972,ceramics,Soba-choko (noodle sauce cup) with calligraphy on the bottom,Soba-choko (noodle sauce cup),,,calligraphy on the bottom
Q102972998,ceramics,Soba-choko (noodle sauce cup) with green glaze with a pressed seal of a sea plover on base,Soba-choko (noodle sauce cup),,,green glaze with a pressed seal of a sea plover on base
Q102973005,ceramics,Soba-choko (noodle sauce cup) with temmoku glaze,Soba-choko (noodle sauce cup),,,temmoku glaze
Q104032355,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of abstract feathers,Soba-choko (noodle sauce cup),,in blue underglaze of abstract feathers,
Q104032357,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of abstract feathers,Soba-choko (noodle sauce cup),,in blue underglaze of abstract feathers,
Q104032360,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of flying bird and stylized pomegranates,Soba-choko (noodle sauce cup),,in blue underglaze of flying bird and stylized pomegranates,
Q104032364,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of flying bird and stylized pomegranates,Soba-choko (noodle sauce cup),,in blue underglaze of flying bird and stylized pomegranates,
Q104032366,ceramics,"Soba-choko (noodle sauce cup) with a design in blue underglaze of landscape with building, pine trees and birds",Soba-choko (noodle sauce cup),,"in blue underglaze of landscape with building, pine trees and birds",
Q104032369,ceramics,"Soba-choko (noodle sauce cup) with a design in blue underglaze of landscape with building, pine trees and birds",Soba-choko (noodle sauce cup),,"in blue underglaze of landscape with building, pine trees and birds",
Q104032372,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of pine branches,Soba-choko (noodle sauce cup),,in blue underglaze of pine branches,
Q104032374,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of pine branches,Soba-choko (noodle sauce cup),,in blue underglaze of pine branches,
Q104032377,ceramics,"Soba-choko (noodle sauce cup) with a design in blue underglaze of pine tree, bamboo and plum blossoms",Soba-choko (noodle sauce cup),,"in blue underglaze of pine tree, bamboo and plum blossoms",
Q104032380,ceramics,"Soba-choko (noodle sauce cup) with a design in blue underglaze of pine tree, bamboo and plum blossoms",Soba-choko (noodle sauce cup),,"in blue underglaze of pine tree, bamboo and plum blossoms",
Q104032384,ceramics,"Soba-choko (noodle sauce cup) with a design in blue underglaze of pine tree, bamboo and plum blossoms",Soba-choko (noodle sauce cup),,"in blue underglaze of pine tree, bamboo and plum blossoms",
Q104032385,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of plum blossoms,Soba-choko (noodle sauce cup),,in blue underglaze of plum blossoms,
Q104032388,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of plum blossoms,Soba-choko (noodle sauce cup),,in blue underglaze of plum blossoms,
Q104032390,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of spirals,Soba-choko (noodle sauce cup),,in blue underglaze of spirals,
Q104032392,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of spirals,Soba-choko (noodle sauce cup),,in blue underglaze of spirals,
Q104032396,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of two floral sprays,Soba-choko (noodle sauce cup),,in blue underglaze of two floral sprays,
Q104032398,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of two floral sprays,Soba-choko (noodle sauce cup),,in blue underglaze of two floral sprays,
Q104032401,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of vertical stripes,Soba-choko (noodle sauce cup),,in blue underglaze of vertical stripes,
Q104032404,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of vertical stripes,Soba-choko (noodle sauce cup),,in blue underglaze of vertical stripes,
Q104032407,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of vertical stripes,Soba-choko (noodle sauce cup),,in blue underglaze of vertical stripes,
Q104032410,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of vertical stripes,Soba-choko (noodle sauce cup),,in blue underglaze of vertical stripes,
Q106567598,ceramics,Soba-choko (noodle sauce cup) with a design in blue underglaze of two floral motifs contained in two cartouches separated by a solid background of overlapping flower petals,Soba-choko (noodle sauce cup),,in blue underglaze of two floral motifs contained in two cartouches separated by a solid background of overlapping flower petals,
Q102972979,ceramics,Soba-choko (noodle sauce cup) with celadon glaze with a design in blue underglaze of a cross hatch pattern on the inside rim with a foliate rim,Soba-choko (noodle sauce cup) with celadon glaze,,in blue underglaze of a cross hatch pattern on the inside rim with a foliate rim,
Q102972990,ceramics,Soba-choko (noodle sauce cup) with fluted sides and foliate rim in the shape of chrysanthemum,Soba-choko (noodle sauce cup) with fluted sides and foliate rim,chrysanthemum,,
Q106568696,work of art,Soft Basket,Soft Basket,,,
Q102973040,ceramics,Soma ware cup with a design of running horse inside,Soma ware cup,,of running horse inside,
Q102973046,ceramics,Soma ware cup with a design of running horse on the outside,Soma ware cup,,of running horse on the outside,
Q102973058,ceramics,Soma ware cup with running horse in relief on the inside,Soma ware cup,,,running horse in relief on the inside
Q106567600,ceramics,Soma-yaki ware tea cup with fluted rim and a crackle green glaze and a design of waves with a design of a galloping horse on the bottom of the cup in gold glaze,Soma-yaki ware tea cup with fluted rim and a crackle green glaze and a design of waves,,of a galloping horse on the bottom of the cup in gold glaze,
Q106568700,weapon,Spear point with notches,Spear point,,,notches
Q106582829,weapon,Spear Thrower,Spear Thrower,,,
Q102973110,sculpture,Spherical ojime (bead) in the form of mice,Spherical ojime (bead),mice,,
Q102973118,ceramics,Spindle Whorl,Spindle Whorl,,,
Q103308734,stone,Spirit Stone or Scholar's stone,Spirit Stone or Scholar's stone,,,
Q106582830,work of art,Square brown bottle,Square brown bottle,,,
Q102973143,ceramics,Square dish with a design in blue under glaze of a landscape,Square dish,,in blue under glaze of a landscape,
Q102973162,ceramics,Square oribe ware dish with a design of chrysanthemum,Square oribe ware dish,,of chrysanthemum,
Q104032414,ceramics,Square sauce dish with a design in brown underglaze of a circle with four characters,Square sauce dish,,in brown underglaze of a circle with four characters,
Q104032419,ceramics,Square sauce dish with a design in brown underglaze of a circle with four characters,Square sauce dish,,in brown underglaze of a circle with four characters,
Q102973169,sculpture,Square seal,Square seal,,,
Q102973178,ceramics,Square seto ware dish with an abstract design,Square seto ware dish,,,an abstract design
Q102973183,ceramics,Square-sided jar with two dragons on shoulder with a design in black slip of flowers,Square-sided jar with two dragons on shoulder,,in black slip of flowers,
Q103308752,ceramics,Squatting figure with hands on chest and stripped slip patterns on face,Squatting figure,,,hands on chest and stripped slip patterns on face
Q102973201,ceramics,Squatting hollow figure with large head,Squatting hollow figure,,,large head
Q103308762,ceramics,Squatting male figure container with elaborate designs incised on its sides,Squatting male figure container,,,elaborate designs incised on its sides
Q103308795,sculpture,St. George and the Dragon; from a peasant carving workshop,St. George and the Dragon; from a peasant carving workshop,,,
Q102973236,sculpture,St. Jerome,St. Jerome,,,
Q102973298,ceramics,Stamp with a bird,Stamp,,,a bird
Q103308874,ceramics,Stamp with felines,Stamp,,,felines
Q102973292,ceramics,Stamp or seal with a centipede,Stamp or seal,,,a centipede
Q103308879,sculpture,Standing corn goddess with elaborate headdress and ear of corn,Standing corn goddess,,,elaborate headdress and ear of corn
Q102973321,ceramics,Standing female figure,Standing female figure,,,
Q103308887,sculpture,Standing female figure,Standing female figure,,,
Q103308893,ceramics,Standing female figure with painting on the back,Standing female figure,,,painting on the back
Q104032423,ceramics,Standing female figure,Standing female figure,,,
Q104032426,ceramics,Standing female figure,Standing female figure,,,
Q104032429,ceramics,Standing female figure,Standing female figure,,,
Q104032432,ceramics,Standing female figure,Standing female figure,,,
Q104032436,ceramics,Standing female figure,Standing female figure,,,
Q104032439,ceramics,Standing female figure,Standing female figure,,,
Q104032442,ceramics,Standing female figure,Standing female figure,,,
Q104032446,ceramics,Standing female figure,Standing female figure,,,
Q104032449,ceramics,Standing female funerary figure,Standing female funerary figure,,,
Q104032452,ceramics,Standing female funerary figure,Standing female funerary figure,,,
Q102973329,ceramics,Standing female saint or Madonna,Standing female saint or Madonna,,,
Q103308898,sculpture,Standing figure,Standing figure,,,
Q103308910,ceramics,Standing figure with pan pipes,Standing figure,,,pan pipes
Q103308917,ceramics,Standing figure with spiked crown and shaman's necklace,Standing figure,,,spiked crown and shaman's necklace
Q103308926,ceramics,Standing figure with tapered head and elaborate ear ornaments,Standing figure,,,tapered head and elaborate ear ornaments
Q104032457,ceramics,Standing figure,Standing figure,,,
Q104032460,ceramics,Standing figure,Standing figure,,,
Q104032464,ceramics,Standing figure,Standing figure,,,
Q104032468,ceramics,Standing figure,Standing figure,,,
Q104032472,ceramics,Standing figure,Standing figure,,,
Q104032475,ceramics,Standing figure with ring through its nose,Standing figure,,,ring through its nose
Q104032479,ceramics,Standing figure with ring through its nose,Standing figure,,,ring through its nose
Q105096013,sculpture,Standing Figure,Standing Figure,,,
Q106567604,work of art,"Standing figure of a vendor with a barrel and masks on his back. The barrel ends inlaid with green nephrite jade, and an emblem on the front of the figure inlaid with red.",Standing figure of a vendor,,,"a barrel and masks on his back. The barrel ends inlaid with green nephrite jade, and an emblem on the front of the figure inlaid with red."
Q102973338,work of art,Standing figure of woman with a bag,Standing figure of woman,,,a bag
Q102973346,ceramics,Standing figure wearing an owl mask,Standing figure wearing an owl mask,,,
Q104032483,ceramics,Standing hollow female figure,Standing hollow female figure,,,
Q104032487,ceramics,Standing hollow female figure,Standing hollow female figure,,,
Q104032490,ceramics,Standing hollow figure with ear spools,Standing hollow figure,,,ear spools
Q104032493,ceramics,Standing hollow figure with ear spools,Standing hollow figure,,,ear spools
Q103308934,sculpture,Standing human figure,Standing human figure,,,
Q106582831,sculpture,Standing Kuan Yin,Standing Kuan Yin,,,
Q103308942,sculpture,Standing male figure,Standing male figure,,,
Q103308948,sculpture,Standing male figure with birdhead,Standing male figure,,,birdhead
Q103308953,sculpture,Standing male figure with elaborate body patterns,Standing male figure,,,elaborate body patterns
Q103308960,ceramics,Standing male figure with incised patterns on arms and thighs,Standing male figure,,,incised patterns on arms and thighs
Q103308964,sculpture,Standing male figure with stylized head and face,Standing male figure,,,stylized head and face
Q104032497,ceramics,Standing male figure,Standing male figure,,,
Q104032500,ceramics,Standing male figure,Standing male figure,,,
Q103308973,ceramics,Standing male funerary figure,Standing male funerary figure,,,
Q103308983,ceramics,Standing pan pipe player with bird headdress,Standing pan pipe player,,,bird headdress
Q103308992,sculpture,Standing Vishnu,Standing Vishnu,,,
Q103308997,ceramics,Standing warrior figure with headdress,Standing warrior figure,,,headdress
Q103309002,sculpture,Standing Woman,Standing Woman,,,
Q105092128,sculpture,Star Gazer,Star Gazer,,,
Q102973368,ceramics,Stem wine cup with a design of seated nobles on gold ground (Kutani ware),Stem wine cup,,of seated nobles on gold ground (Kutani ware),
Q103309059,sculpture,Stick or mallet for musical instrument,Stick or mallet for musical instrument,,,
Q102973424,ceramics,Stirrup hagi ware cup,Stirrup hagi ware cup,,,
Q102973431,work of art,Stirrup inlaid with semi-precious stones and incised abstract designs,Stirrup inlaid,,,semi-precious stones and incised abstract designs
Q102973444,ceramics,Stirrup vessel,Stirrup vessel,,,
Q103309070,ceramics,Stirrup-spout vessel,Stirrup-spout vessel,,,
Q104032533,stone,Stone artifact,Stone artifact,,,
Q104032538,stone,Stone artifact,Stone artifact,,,
Q104032542,stone,Stone artifact,Stone artifact,,,
Q104032546,stone,Stone artifact,Stone artifact,,,
Q104032550,stone,Stone artifact,Stone artifact,,,
Q104032553,stone,Stone artifact,Stone artifact,,,
Q103309076,stone,Stone handle,Stone handle,,,
Q103309087,sculpture,Stone head of a Buddha,Stone head of a Buddha,,,
Q103309095,sculpture,Stone seal,Stone seal,,,
Q102973456,stone,Stone tool with wooden handle,Stone tool,,,wooden handle
Q103309100,stone,Stone tool,Stone tool,,,
Q103309106,tool,Stone tool,Stone tool,,,
Q102973472,work of art,Storage box (reproduction),Storage box (reproduction),,,
Q102973481,ceramics,Storage Jar with wide opening,Storage Jar,,,wide opening
Q103309128,ceramics,Storage jar with faint red pigment,Storage jar,,,faint red pigment
Q103309136,ceramics,Storage jar with rounded bottom and geometric designs,Storage jar,,,rounded bottom and geometric designs
Q102973487,ceramics,Storage vessel with wide opening,Storage vessel,,,wide opening
Q102973510,sculpture,String Composition #108,String Composition #108,,,
Q102973516,textile,Striped coverlet,Striped coverlet,,,
Q102973595,sculpture,Stylized ram figure,Stylized ram figure,,,
Q104032558,work of art,Sugar bowl with lid,Sugar bowl,,,lid
Q104032561,work of art,Sugar bowl with lid,Sugar bowl,,,lid
Q102973605,work of art,Suiteki (water dropper),Suiteki (water dropper),,,
Q102973624,work of art,Suiteki (Water Dropper) in the Form of a Boat,Suiteki (Water Dropper),a Boat,,
Q102973634,work of art,Suiteki (Water Dropper) in the Form of the Magic Kettle and Badger,Suiteki (Water Dropper),the Magic Kettle and Badger,,
Q102973641,ceramics,Suiteki (Water Dropper) with a Design of Grass Orchid Flowers,Suiteki (Water Dropper),,of Grass Orchid Flowers,
Q102973650,ceramics,Suiteki (water dropper) with a mottle green and brown glaze,Suiteki (water dropper),,,a mottle green and brown glaze
Q103309272,work of art,Suiteki (water dropper) with a Design of a Frog,Suiteki (water dropper),,of a Frog,
Q103309282,work of art,Suiteki (water dropper) with a design of fans,Suiteki (water dropper),,of fans,
Q102973615,ceramics,"Suiteki (Water Dropper) from a district of Naha, capital of Okinawa","Suiteki (Water Dropper) from a district of Naha, capital of Okinawa",,,
Q102973662,work of art,Suiteki (water-dropper) with a Design of a Lion-Dog,Suiteki (water-dropper),,of a Lion-Dog,
Q102973666,work of art,Sumitsubo - Carpenter's Plumb Line with a Design of a Water Wheel and Tortoise,Sumitsubo - Carpenter's Plumb Line,,of a Water Wheel and Tortoise,
Q103309293,work of art,Sumitsubo - Carpenter's Plumb Line,Sumitsubo - Carpenter's Plumb Line,,,
Q95743495,relief sculpture,Supper at Emmaus,Supper at Emmaus,,,
Q103309332,work of art,Sutra Container with a Chrysanthemum Design,Sutra Container,,,a Chrysanthemum Design
Q102973725,ceramics,Suwankolok ware jar with a design in black slip of geometric patterns,Suwankolok ware jar,,in black slip of geometric patterns,
Q102973732,ceramics,Suwankolok ware vase with a design in slip of an abstract pattern,Suwankolok ware vase,,in slip of an abstract pattern,
Q102973741,work of art,Suzuribako (writing case) consisting of seven parts,Suzuribako (writing case) consisting of seven parts,,,
Q102973747,ceramics,Swaton ware bowl with a design in blue underglaze of floral motif,Swaton ware bowl,,in blue underglaze of floral motif,
Q102973754,ceramics,"Swaton ware plate with a design in blue underglaze of a crane, rocks and plants",Swaton ware plate,,"in blue underglaze of a crane, rocks and plants",
Q103309357,work of art,Sword Handle with Silk Cord,Sword Handle,,,Silk Cord
Q103309365,work of art,Sword Handle with Unwrapped Cord,Sword Handle,,,Unwrapped Cord
Q102973842,ceramics,Tan glazed porcelain cylindrical brush pot,Tan glazed porcelain cylindrical brush pot,,,
Q103309385,ceramics,Tan water bottle,Tan water bottle,,,
Q105095840,ceramics,Tan water bottle,Tan water bottle,,,
Q103309405,sculpture,Taoist Immortal,Taoist Immortal,,,
Q103309414,ceramics,Tapered ovoid storage jar,Tapered ovoid storage jar,,,
Q104032583,ceramics,Tea bowl,Tea bowl,,,
Q104032586,ceramics,Tea bowl,Tea bowl,,,
Q102973889,work of art,Tea caddy (natsume) with design of paulownia flowers and leaves (kiri) & 16-petaled chrysanthemums,Tea caddy (natsume),,of paulownia flowers and leaves (kiri) & 16-petaled chrysanthemums,
Q102973896,ceramics,Tea cup with a design in blue underglaze of scholars,Tea cup,,in blue underglaze of scholars,
